id,name,location,x,y,cashLevel,dailyWithdrawalRate,daysSinceRefill,timeToEmpty_hrs,status
7,ATM_007,Pitampura,23.35,1.23,2.30,4970.79,1,111.17,LOW     
86,ATM_086,Shyam Basti,31.31,0.96,1.46,1475.47,4,238.29,LOW     
16,ATM_016,Punjabi Bagh,50.67,52.12,10.35,4926.20,5,504.38,LOW     
65,ATM_065,Sonia Vihar,15.72,38.71,3.79,1725.39,11,526.60,LOW     
21,ATM_021,Kamla Nagar,56.68,65.25,6.29,2703.94,13,558.47,LOW     
26,ATM_026,Sadar Bazar,81.24,39.17,7.63,3189.33,9,573.82,LOW     
57,ATM_057,Anand Vihar,14.66,47.53,5.66,1831.57,9,741.68,LOW     
61,ATM_061,Nand Nagri,24.22,62.35,11.99,3218.25,2,893.90,LOW     
85,ATM_085,Netaji Subhash Place,12.53,6.78,20.08,4277.82,13,1126.55,LOW     
88,ATM_088,Tis Hazari,6.96,96.01,23.29,4357.03,11,1283.06,LOW     
25,ATM_025,Lal Kuan,82.16,53.27,12.60,2301.43,9,1313.79,LOW     
28,ATM_028,Kalighat,28.45,98.91,19.64,3478.27,8,1355.06,LOW     
93,ATM_093,Akshardham,14.80,71.24,27.26,4756.67,11,1375.52,LOW     
10,ATM_010,Paschim Vihar,5.28,52.87,15.77,2542.18,4,1488.79,LOW     
38,ATM_038,Jangpura,4.04,54.29,17.47,2773.74,4,1511.77,LOW     
99,ATM_099,Sarita Vihar,99.81,46.86,21.99,3334.83,9,1582.90,LOW     
75,ATM_075,Peeragarhi,14.90,14.16,31.83,4673.82,10,1634.24,LOW     
63,ATM_063,Gokulpuri,2.80,9.72,26.43,3629.90,6,1747.33,LOW     
78,ATM_078,Mundka,17.87,81.90,35.65,4322.32,12,1979.54,LOW     
100,ATM_100,Jasola Vihar,52.74,68.40,31.00,3331.79,4,2233.23,LOW     
18,ATM_018,Ashok Vihar,44.08,92.14,46.73,4897.54,3,2289.99,LOW     
27,ATM_027,Paharganj,25.36,38.65,31.41,3274.43,3,2302.00,LOW     
68,ATM_068,Shastri Park,28.89,73.03,28.71,2881.24,15,2391.09,LOW     
9,ATM_009,Rajouri Garden,37.56,26.71,35.17,3384.25,7,2494.40,LOW     
39,ATM_039,Okhla Phase 1,79.30,25.01,21.65,2019.12,9,2573.84,LOW     
97,ATM_097,Vasant Kunj,19.28,88.05,24.47,2186.73,2,2685.46,LOW     
95,ATM_095,Shakarpur,77.44,97.29,25.53,2259.13,6,2712.55,LOW     
72,ATM_072,Jahangirpuri,31.65,14.41,44.03,3883.22,4,2721.48,LOW     
59,ATM_059,Surajmal Vihar,79.09,62.47,49.34,4104.88,7,2884.50,LOW     
45,ATM_045,Vivek Vihar,21.33,4.95,45.96,3821.64,2,2886.01,LOW     
33,ATM_033,Hauz Khas,40.94,1.01,35.12,2914.31,15,2892.17,LOW     
23,ATM_023,Kashmere Gate,12.52,42.83,29.25,2349.38,14,2988.24,LOW     
67,ATM_067,Rohtas Nagar,87.14,54.95,50.67,3957.66,9,3072.96,LOW     
31,ATM_031,Greater Kailash 1,48.93,36.60,29.33,2254.11,3,3122.76,LOW     
76,ATM_076,Nangloi,69.19,72.87,33.88,2577.59,3,3154.71,LOW     
43,ATM_043,Laxmi Nagar,22.21,81.58,48.16,3422.31,13,3377.53,LOW     
49,ATM_049,Gandhi Nagar,2.32,46.85,63.63,4456.83,7,3426.66,LOW     
17,ATM_017,Shalimar Bagh,76.83,26.53,66.64,4618.05,13,3463.50,LOW     
82,ATM_082,Bakkarwala,77.21,26.92,62.02,4173.21,6,3566.79,LOW     
36,ATM_036,INA Colony,34.42,62.84,67.46,4515.95,12,3585.13,LOW     
22,ATM_022,Civil Lines,0.95,70.10,38.83,2511.02,14,3710.92,LOW     
51,ATM_051,Mayur Vihar 1,2.50,3.69,48.08,2966.31,12,3889.96,LOW     
